,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Sebastian Aho\ahose01,24,F,30,15,22,37,13,12,9,6,0,1,15,5,2,93,16.1,583,19:26,3.5,1.2,4.7,13,22,220,178,55.3
2,Teuvo Teravainen\teravte01,27,F,33,10,17,27,14,12,2,6,2,1,11,6,0,92,10.9,612,18:33,2.0,1.3,3.2,18,9,7,8,46.7
3,Andrei Svechnikov\svechan01,21,RW,30,12,14,26,10,39,10,2,0,1,7,7,0,100,12.0,515,17:11,2.3,1.0,3.3,3,51,0,3,0.0
4,Anthony DeAngelo\deangan01,26,D,26,6,18,24,10,25,6,0,0,2,10,8,0,57,10.5,495,19:01,2.3,1.9,4.2,19,13,0,0,
5,Vincent Trocheck\trochvi01,28,C,33,7,15,22,8,43,4,3,0,1,12,3,0,56,12.5,587,17:48,1.2,1.0,2.2,19,63,299,233,56.2
6,Martin Necas\necasma01,23,C,31,7,12,19,5,12,6,1,0,4,10,2,0,61,11.5,521,16:48,1.1,0.8,1.9,6,24,13,14,48.1
7,Jaccob Slavin\slavija01,27,D,33,1,17,18,7,6,1,0,0,0,11,5,1,67,1.5,790,23:57,0.9,2.3,3.2,53,26,0,0,
8,Nino Niederreiter\niedeni01,29,RW,27,10,7,17,11,4,7,3,0,4,6,1,0,57,17.5,386,14:18,1.6,0.9,2.5,11,38,4,7,36.4
9,Jesperi Kotkaniemi\kotkaje01,21,C,33,7,9,16,2,10,7,0,0,2,6,3,0,43,16.3,408,12:22,1.1,0.6,1.7,11,43,69,68,50.4
10,Seth Jarvis\jarvise01,19,C,24,6,9,15,6,2,5,1,0,2,7,2,0,42,14.3,332,13:50,1.2,0.6,1.8,9,20,5,5,50.0
11,Jesper Fast\fastje01,30,RW,33,8,5,13,4,2,7,1,0,1,4,1,0,41,19.5,480,14:33,0.7,0.7,1.5,18,46,1,8,11.1
12,Brady Skjei\skjeibr01,27,D,33,5,8,13,12,26,5,0,0,0,8,0,0,71,7.0,670,20:17,0.9,2.4,3.3,32,37,0,0,
13,Brett Pesce\pescebr01,27,D,21,2,10,12,5,10,1,1,0,1,8,2,0,39,5.1,449,21:22,0.8,1.4,2.2,25,10,0,0,
14,Jordan Staal\staaljo01,33,C,31,2,8,10,-1,10,1,1,0,0,7,1,0,56,3.6,530,17:06,-0.3,0.6,0.3,13,86,297,221,57.3
15,Derek Stepan\stepade01,31,C,26,4,4,8,3,4,4,0,0,0,4,0,0,45,8.9,295,11:21,0.4,0.5,0.8,14,14,112,98,53.3
16,Steven Lorentz\lorenst01,25,C,29,5,2,7,3,4,5,0,0,1,2,0,0,39,12.8,307,10:36,0.3,0.5,0.8,7,29,32,28,53.3
17,Ethan Bear\bearet01,24,D,26,2,5,7,10,14,2,0,0,1,5,0,0,36,5.6,427,16:25,0.3,1.7,2.1,24,23,0,0,
18,Ian Cole\coleia01,32,D,31,1,6,7,8,37,1,0,0,1,6,0,0,39,2.6,532,17:09,0.1,1.8,1.9,40,45,0,0,
19,Jordan Martinook\martijo01,29,LW,22,1,5,6,1,8,1,0,0,0,5,0,0,19,5.3,225,10:13,0.1,0.3,0.4,5,28,8,4,66.7
20,Frederik Andersen\anderfr01,32,G,23,0,4,4,0,0,0,0,0,0,3,1,0,0,,1345,58:28,0.0,0.0,4.8,0,0,0,0,
21,Brendan Smith\smithbr05,32,D,18,2,1,3,4,10,2,0,0,1,1,0,0,21,9.5,263,14:38,0.2,0.9,1.1,13,26,0,0,
22,Jack Drury\druryja01,21,C,2,2,0,2,3,2,2,0,0,0,0,0,0,6,33.3,32,15:58,0.3,0.2,0.5,2,4,12,3,80.0
23,Andrew Poturalski\poturan01,28,C,2,0,2,2,-1,0,0,0,0,0,0,2,0,4,0.0,20,10:09,0.1,0.0,0.1,1,0,3,4,42.9
24,Jalen Chatfield\chatfja01,25,D,7,0,1,1,1,0,0,0,0,0,1,0,0,10,0.0,118,16:47,-0.1,0.3,0.3,7,19,0,0,
25,Josh Leivo\leivojo01,28,LW,3,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,29,9:49,0.0,0.0,0.1,1,1,0,0,
26,Maxime Lajoie\lajoima01,24,D,5,0,0,0,2,0,0,0,0,0,0,0,0,6,0.0,63,12:32,-0.1,0.3,0.2,5,3,0,0,
27,Alex Lyon\lyonal01,29,G,2,0,0,0,,0,0,0,0,0,0,0,0,0,,123,61:25,0.0,0.0,0.4,0,0,0,0,
28,Stefan Noesen\noesest01,28,RW,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,29,14:20,-0.1,0.1,0.0,0,5,0,0,
29,Antti Raanta\raantan01,32,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,511,51:07,0.0,0.0,1.2,0,0,0,0,
30,C.J. Smith\smithcj01,27,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:22,0.0,0.0,-0.1,0,1,0,0,
,Team Total,,,33,115,202,317,140,292,88,25,2,24,150,49,3,1107,10.4,,,21.1,23.2,50.6,369,686,1082,882,55.1
