,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jordan Eberle\eberljo01,31,RW,32,12,11,23,-16,4,9,3,0,1,7,4,0,69,17.4,579,18:06,1.9,0.2,2.1,20,24,4,8,33.3
2,Jared McCann\mccanja01,25,C,29,14,7,21,-9,10,9,5,0,0,5,2,0,79,17.7,453,15:36,2.3,0.3,2.5,10,27,98,109,47.3
3,Yanni Gourde\gourdya01,30,C,26,8,12,20,-6,13,7,1,0,0,9,2,1,48,16.7,492,18:57,1.5,0.4,1.9,10,36,174,165,51.3
4,Jaden Schwartz\schwaja01,29,C,29,6,14,20,-12,10,5,1,0,0,12,2,0,70,8.6,536,18:28,1.1,0.2,1.4,9,35,12,14,46.2
5,Alexander Wennberg\wennbal01,27,C,34,3,14,17,-14,12,3,0,0,1,10,4,0,45,6.7,641,18:51,0.2,0.3,0.5,13,17,279,307,47.6
6,Brandon Tanev\tanevbr01,30,LW,30,9,6,15,4,13,6,2,1,3,6,0,0,51,17.6,437,14:34,1.2,0.7,1.9,22,98,1,1,50.0
7,Joonas Donskoi\donskjo01,29,RW,34,0,14,14,0,2,0,0,0,0,11,3,0,40,0.0,550,16:11,-0.1,0.7,0.6,16,16,3,7,30.0
8,Ryan Donato\donatry01,25,C,29,8,5,13,-11,21,7,1,0,1,5,0,0,63,12.7,364,12:34,1.1,0.1,1.2,9,23,5,5,50.0
9,Vince Dunn\dunnvi02,25,D,29,3,10,13,-12,16,2,1,0,0,6,4,0,38,7.9,575,19:50,0.9,0.4,1.3,24,30,0,0,
10,Mark Giordano\giordma01,38,D,28,4,7,11,-11,18,4,0,0,0,3,4,0,56,7.1,589,21:02,0.8,0.5,1.3,47,24,0,0,
11,Jamie Oleksiak\oleksja01,29,D,33,1,10,11,3,32,1,0,0,0,10,0,0,44,2.3,641,19:25,0.4,1.7,2.1,37,95,0,0,
12,Calle Jarnkrok\jarnkca01,30,C,23,4,6,10,-7,2,3,1,0,0,6,0,0,29,13.8,368,16:01,0.4,0.2,0.6,4,12,57,54,51.4
13,Carson Soucy\soucyca01,27,D,26,4,6,10,5,17,3,0,1,0,4,2,0,40,10.0,459,17:39,0.8,1.5,2.3,33,50,0,0,
14,Morgan Geekie\geekimo01,23,C,34,3,7,10,-8,8,3,0,0,0,4,3,0,48,6.3,437,12:50,0.1,0.3,0.4,10,24,163,141,53.6
15,Adam Larsson\larssad01,29,D,34,2,7,9,-16,24,2,0,0,1,6,1,0,48,4.2,755,22:12,0.1,0.6,0.7,72,84,0,0,
16,Marcus Johansson\johanma03,31,C,23,3,5,8,-15,0,1,2,0,1,2,3,0,41,7.3,379,16:29,0.1,-0.1,0.0,8,4,9,14,39.1
17,Colin Blackwell\blackco01,28,C,12,3,3,6,0,0,3,0,0,0,3,0,0,14,21.4,138,11:28,0.5,0.2,0.7,3,16,5,8,38.5
18,Mason Appleton\applema01,26,C,20,2,4,6,-7,4,2,0,0,1,4,0,0,28,7.1,282,14:06,0.0,0.1,0.1,8,12,5,11,31.3
19,Jeremy Lauzon\lauzoje01,24,D,28,1,4,5,-12,45,1,0,0,0,4,0,0,28,3.6,491,17:31,0.0,0.2,0.2,19,94,0,0,
20,Riley Sheahan\sheahri01,30,C,21,1,3,4,2,0,1,0,0,0,3,0,0,20,5.0,238,11:20,-0.2,0.4,0.2,9,7,98,114,46.2
21,Haydn Fleury\fleurha01,25,D,18,2,1,3,-3,4,2,0,0,1,1,0,0,22,9.1,302,16:47,0.1,0.5,0.6,25,34,0,0,
22,Nathan Bastian\bastina01,24,RW,12,1,1,2,-1,31,1,0,0,0,1,0,0,10,10.0,111,9:14,0.0,0.1,0.1,6,16,2,2,50.0
23,William Borgen\borgewi01,25,D,8,1,1,2,-4,6,1,0,0,0,1,0,0,11,9.1,113,14:11,0.2,0.0,0.1,14,10,0,0,
24,Alex Barre-Boulet\barreal01,24,F,2,0,1,1,0,0,0,0,0,0,1,0,0,0,,17,8:39,0.1,0.0,0.1,0,0,0,0,
25,Philipp Grubauer\grubaph01,30,G,26,0,1,1,0,0,0,0,0,0,1,0,0,0,,1420,54:36,0.0,0.0,1.8,0,1,0,0,
26,Kole Lind\lindko01,23,RW,4,0,1,1,-1,2,0,0,0,0,1,0,0,0,,30,7:32,0.0,0.0,0.0,1,4,1,1,50.0
27,Joey Daccord\daccojo01,25,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,173,57:45,0.0,0.0,0.1,0,0,0,0,
28,Chris Driedger\driedch01,27,G,9,0,0,0,0,2,0,0,0,0,0,0,0,0,,430,47:44,0.0,0.0,0.9,0,0,0,0,
29,Max McCormick\mccorma01,29,LW,8,0,0,0,1,8,0,0,0,0,0,0,0,7,0.0,68,8:27,-0.2,0.1,-0.1,3,10,1,2,33.3
30,Alexander True\trueal01,24,F,6,0,0,0,-2,2,0,0,0,0,0,0,0,5,0.0,55,9:07,-0.2,0.0,-0.2,2,15,11,13,45.8
,Team Total,,,34,95,161,256,-152,306,76,17,2,10,126,34,1,954,10.0,,,13.1,9.6,25.4,434,818,928,976,48.7
